dia;mes;ano;valor
11;9;1935;10.1
12;9;1935;12.9
13;9;1935;19.3
14;9;1935;18.2
15;9;1935;10.7
16;9;1935;9.1
17;9;1935;6.8
18;9;1935;17.6
19;9;1935;17.3
20;9;1935;10.4
21;9;1935;18.1
22;9;1935;17.0
23;9;1935;11.9
24;9;1935;5.5
25;9;1935;23.8
26;9;1935;23.7
27;9;1935;23.2
28;9;1935;20.4
29;9;1935;22.2
30;9;1935;21.6
1;10;1935;23.4
2;10;1935;21.8
3;10;1935;18.9
4;10;1935;13.0
5;10;1935;14.3
6;10;1935;14.6
7;10;1935;15.5
8;10;1935;14.0
9;10;1935;9.0
10;10;1935;10.6
11;10;1935;11.7
12;10;1935;8.8
13;10;1935;8.4
14;10;1935;12.2
15;10;1935;21.3
16;10;1935;13.4
17;10;1935;5.4
18;10;1935;15.2
19;10;1935;21.1
20;10;1935;22.0
21;10;1935;19.2
22;10;1935;19.3
23;10;1935;15.9
24;10;1935;9.9
25;10;1935;10.2
26;10;1935;10.3
27;10;1935;15.8
28;10;1935;14.6
29;10;1935;17.1
30;10;1935;17.5
31;10;1935;21.8
1;11;1935;26.1
2;11;1935;25.9
3;11;1935;26.2
4;11;1935;27.3
5;11;1935;17.0
6;11;1935;23.5
7;11;1935;24.1
8;11;1935;25.8
9;11;1935;25.5
10;11;1935;24.0
11;11;1935;15.8
12;11;1935;20.3
13;11;1935;15.2
14;11;1935;13.4
15;11;1935;16.8
16;11;1935;20.1
17;11;1935;11.6
18;11;1935;27.5
19;11;1935;24.1
20;11;1935;17.3
21;11;1935;12.9
22;11;1935;12.2
23;11;1935;17.1
24;11;1935;17.4
25;11;1935;16.8
26;11;1935;16.6
27;11;1935;12.9
28;11;1935;12.9
29;11;1935;15.8
30;11;1935;19.3
1;12;1935;7.6
2;12;1935;5.3
3;12;1935;10.5
4;12;1935;14.6
5;12;1935;11.5
6;12;1935;17.3
7;12;1935;20.1
8;12;1935;23.0
9;12;1935;13.6
10;12;1935;10.3
11;12;1935;13.1
12;12;1935;23.1
13;12;1935;26.4
14;12;1935;18.4
15;12;1935;17.5
16;12;1935;15.6
17;12;1935;10.9
18;12;1935;9.3
19;12;1935;15.4
20;12;1935;26.2
21;12;1935;28.2
22;12;1935;24.7
23;12;1935;18.5
24;12;1935;16.1
25;12;1935;22.3
26;12;1935;26.4
27;12;1935;18.5
28;12;1935;16.5
29;12;1935;20.7
30;12;1935;20.0
31;12;1935;19.0
1;1;1936;20.9
2;1;1936;18.9
3;1;1936;18.3
4;1;1936;22.4
5;1;1936;23.4
6;1;1936;12.3
7;1;1936;10.6
8;1;1936;14.5
9;1;1936;11.5
10;1;1936;13.0
11;1;1936;18.4
12;1;1936;16.7
13;1;1936;16.4
14;1;1936;15.4
15;1;1936;8.1
16;1;1936;13.7
17;1;1936;9.4
18;1;1936;8.1
19;1;1936;12.0
20;1;1936;15.7
21;1;1936;19.8
22;1;1936;18.7
23;1;1936;21.8
24;1;1936;23.2
25;1;1936;25.0
26;1;1936;19.6
27;1;1936;19.2
28;1;1936;20.1
29;1;1936;18.3
30;1;1936;16.2
31;1;1936;13.1
1;2;1936;18.1
2;2;1936;12.1
3;2;1936;11.7
4;2;1936;13.7
5;2;1936;11.7
6;2;1936;17.9
7;2;1936;20.2
8;2;1936;19.6
9;2;1936;24.1
10;2;1936;11.7
11;2;1936;17.0
12;2;1936;22.6
13;2;1936;14.1
14;2;1936;25.3
15;2;1936;24.2
16;2;1936;15.5
17;2;1936;15.6
18;2;1936;17.5
19;2;1936;21.6
20;2;1936;11.7
21;2;1936;15.2
22;2;1936;5.6
23;2;1936;9.0
24;2;1936;16.3
25;2;1936;18.5
26;2;1936;22.1
27;2;1936;24.4
28;2;1936;25.5
29;2;1936;0.0
1;3;1936;24.4
2;3;1936;23.0
3;3;1936;20.5
4;3;1936;15.3
5;3;1936;21.8
6;3;1936;23.7
7;3;1936;23.8
8;3;1936;23.6
9;3;1936;23.2
10;3;1936;21.3
11;3;1936;20.1
12;3;1936;15.3
13;3;1936;15.2
14;3;1936;12.1
15;3;1936;16.8
16;3;1936;23.7
17;3;1936;21.2
18;3;1936;15.7
19;3;1936;14.8
20;3;1936;12.9
21;3;1936;9.1
22;3;1936;10.4
23;3;1936;5.2
24;3;1936;10.0
25;3;1936;11.4
26;3;1936;11.9
27;3;1936;14.6
28;3;1936;16.6
29;3;1936;15.8
30;3;1936;17.4
31;3;1936;19.3
1;4;1936;20.1
2;4;1936;17.5
3;4;1936;12.7
4;4;1936;13.1
5;4;1936;11.7
6;4;1936;13.9
7;4;1936;16.3
8;4;1936;6.7
9;4;1936;9.3
10;4;1936;13.3
11;4;1936;13.7
12;4;1936;9.1
13;4;1936;5.6
14;4;1936;16.8
15;4;1936;15.5
16;4;1936;9.6
17;4;1936;13.2
18;4;1936;11.7
19;4;1936;12.2
20;4;1936;13.1
21;4;1936;10.6
22;4;1936;9.7
23;4;1936;11.3
24;4;1936;13.5
25;4;1936;9.6
26;4;1936;13.7
27;4;1936;18.6
28;4;1936;16.9
29;4;1936;14.8
30;4;1936;7.6
1;5;1936;5.6
2;5;1936;8.5
3;5;1936;9.8
4;5;1936;10.0
5;5;1936;7.5
6;5;1936;13.4
7;5;1936;13.4
8;5;1936;8.2
9;5;1936;13.0
10;5;1936;11.7
11;5;1936;5.8
12;5;1936;4.5
13;5;1936;5.3
14;5;1936;5.2
15;5;1936;5.1
16;5;1936;8.9
17;5;1936;6.7
18;5;1936;5.2
19;5;1936;5.2
20;5;1936;12.9
21;5;1936;11.2
22;5;1936;15.4
23;5;1936;8.7
24;5;1936;10.9
25;5;1936;9.1
